epoch,loss_fake,loss_real,discriminator_loss,wasserstein_D,g_loss
0,-0.7588666677474976,2.4797861576080322,-2.5543434619903564,3.238654613494873,1.7637288570404053
1,1.1188268661499023,7.834594249725342,-5.417811870574951,6.715766906738281,0.6254193186759949
2,3.3869056701660156,4.966675758361816,-0.9812057018280029,1.5797715187072754,-2.8524837493896484
3,0.9921624064445496,2.2529282569885254,-0.7959742546081543,1.2607688903808594,-0.436023473739624
4,-1.3343243598937988,0.1896183043718338,-1.0481048822402954,1.5239415168762207,2.518627643585205
5,-4.38934850692749,-2.7534561157226562,-1.1461400985717773,1.635890007019043,5.8178534507751465
6,-6.31360387802124,-4.766257286071777,-1.0353962182998657,1.5473427772521973,7.757943153381348
7,-6.8077826499938965,-6.109190464019775,0.48863157629966736,0.6985977292060852,7.833788871765137
8,1.785510540008545,2.2648837566375732,0.6350173354148865,0.4793747067451477,-1.1713793277740479
9,2.2616169452667236,3.2479052543640137,-0.45859888195991516,0.9862896800041199,-1.4236475229263306
10,2.4451167583465576,3.5299384593963623,-0.5918272733688354,1.084817886352539,-1.3867127895355225
11,3.595815420150757,4.7577338218688965,-0.6447411775588989,1.1619144678115845,-2.5034070014953613
12,7.285421848297119,8.290902137756348,-0.09945209324359894,1.0054799318313599,-6.604385852813721
13,6.525959491729736,7.544323444366455,-0.4559984505176544,1.018368124961853,-5.601059913635254
14,7.84122371673584,8.58102035522461,0.033147621899843216,0.739781379699707,-7.142892837524414
15,7.302844524383545,8.158376693725586,-0.3098590672016144,0.8555296063423157,-6.3707404136657715
16,8.034696578979492,8.982491493225098,-0.43138450384140015,0.9477794766426086,-7.046366214752197
17,8.946200370788574,9.836308479309082,-0.3845200836658478,0.8901054859161377,-7.91053581237793
18,12.800848960876465,13.704290390014648,-0.3894001841545105,0.9034526348114014,-11.972922325134277
19,17.86036491394043,18.346500396728516,1.1691900491714478,0.486141175031662,-17.636125564575195
20,14.323883056640625,14.905869483947754,0.058110833168029785,0.5820042490959167,-13.849103927612305
21,15.163895606994629,15.72664737701416,-0.059028010815382004,0.5627529621124268,-14.626155853271484
22,15.813102722167969,16.421838760375977,-0.15974341332912445,0.6087362170219421,-15.227484703063965
23,19.30526351928711,19.786394119262695,0.061971429735422134,0.4811391830444336,-19.010881423950195
24,16.63642692565918,16.77246856689453,3.205080270767212,0.13602443039417267,-17.612773895263672
25,3.661223888397217,3.936363935470581,0.9674841165542603,0.2751438617706299,-3.637645721435547
26,0.22670720517635345,0.6871275305747986,0.011133144609630108,0.4604206085205078,0.229107066988945
27,-0.6011360883712769,-0.09319149702787399,-0.07193833589553833,0.5079441070556641,1.1612063646316528
28,0.6550215482711792,1.1349189281463623,-0.028855713084340096,0.47989651560783386,-0.1280815452337265
29,4.542457103729248,5.05518102645874,-0.06741871684789658,0.5127223134040833,-4.011670112609863
30,7.742975234985352,8.250314712524414,-0.0721215084195137,0.5073421597480774,-7.227879524230957
